1,8.87,1,1,30,5
1,1.10,1,1,8,1.75
2,1.64,1,1,11,2.56
1,2.40,1,2,10.5,0
2,.50,1,2,4,0
1,4.86,1,2,17.5,0
1,.76,1,1,8.5,1.75
1,.90,1,2,5.5,0
1,2.71,1,1,12.5,3.58
6,2.38,1,1,11,2
1,1.84,1,2,8,0
1,.81,1,1,8,2.64
1,1.70,1,2,9,0
1,.90,1,2,6,0
1,8.95,1,1,27.5,5
5,2.73,1,1,11,2.46
2,1.01,1,1,6,0.7
1,.56,1,1,4.5,1.32
2,1.40,1,2,7.5,0
2,1.90,1,1,12.5,2.75
4,4.18,1,1,18,3.76
1,11.93,1,2,35,0
1,1.33,1,2,5.5,0
1,3.57,1,1,13,3.45
1,1.00,1,2,8.5,0
1,2.00,1,2,10,0
1,1.10,1,2,7.5,0
1,2.75,1,1,18,3.96
1,1.10,1,2,8,0
1,3.00,1,2,12,0
1,1.30,1,1,9,1.95
6,1.18,1,1,6,1.46
5,1.68,1,2,8,0
1,1.50,1,2,7,0
1,2.80,1,1,11.5,4
1,2.53,1,2,11.5,0
1,1.40,1,2,8,0
1,1.10,1,1,11,0.2
2,7.60,1,1,34,6.95
2,.43,1,1,4,1.06
1,1.80,1,2,9,0
1,5.12,1,2,16,0
2,2.60,1,2,14,0
1,1.46,1,2,10,0
1,.70,1,2,4,0
1,.90,1,2,6,0
1,.70,1,1,4.5,1.32
1,16.30,1,2,44.5,0
1,.90,1,1,5.5,0
5,1.65,1,1,8,0.5
2,2.33,1,1,10,1.5
1,2.50,1,1,15,3.15
5,1.12,1,1,6.5,1.5
1,3.18,1,1,14.5,3.16
1,4.49,1,1,20,2
6,2.66,1,2,16,0
4,4.50,1,1,16,3.46
1,1.00,1,1,5.5,1.35
6,1.53,1,1,13,2.76
1,.20,1,2,5,0
1,1.50,1,1,9,1.95
1,20.86,2,1,52,11.67
5,1.19,1,2,6.5,0
1,2.87,1,1,13,1.5
1,.60,1,2,7.5,0
1,.71,1,1,6.5,1.46
2,12.60,1,2,48,0
2,2.10,1,1,13.5,3.7
1,2.60,1,2,10.5,0
1,2.52,1,1,11.5,2.56
1,2.24,1,2,10.5,0
6,1.91,1,1,11.5,2.46
6,1.00,1,1,10,3.24
1,2.82,1,1,10.5,2.26
1,.67,1,1,5,1.7
2,1.32,1,1,7.5,1.66
1,2.21,1,1,11,2.46
1,1.70,1,2,8,0
2,1.91,1,1,8.5,0
1,.40,1,1,3.5,0.5
1,.40,1,2,3.5,0
1,1.80,1,1,9,1.62
