userId,movieId,tag,timestamp
6,4973,beautifully filmed,1242761120
6,4973,connection,1242761139
6,4973,fairy tale,1242761118
6,4973,feel-good,1242761125
6,4973,love,1242761116
6,4973,quirky,1242761114
6,5137,documentary,1218190077
6,5137,hip hop,1218190077
6,5137,music,1218190077
6,5137,turntablism,1218190077
6,7361,Jim Carrey,1242761034
6,7361,love,1242761050
6,7361,memory,1242761052
6,7361,philosophy,1242761045
6,7361,quirky,1242761041
6,7361,romance,1242761043
6,7361,thought-provoking,1242761070
6,46976,connection,1242760979
6,46976,Maggie Gyllenhaal,1242760913
6,46976,passion,1242761007
6,46976,quirky romantic,1242760964
6,46976,surreal,1242760928
6,46976,Will Ferrell,1242760925
7,1252,Los Angeles,1149270238
7,1252,nicolson,1149270222
22,370,Comedy,1146841942
22,595,Disney,1146841965
22,5060,comedy classic,1146841926
25,364,animation,1335395419
25,364,Rowan Atkinson,1335395425
25,480,based on a book,1335395452
25,480,dinosaurs,1335395449
25,480,genetics,1335395464
25,480,science,1335395459
25,480,Steven Spielberg,1335395457
25,750,black and white,1335401680
25,750,black comedy,1335401658
25,750,British,1335401662
25,750,cold war,1335401660
25,750,dark comedy,1335401656
25,750,military,1335401676
25,750,nuclear war,1335401653
25,750,Quirky,1335401655
25,750,satire,1335401665
25,750,satirical,1335401667
25,750,US president,1335401670
25,1079,black comedy,1335401697
25,1079,dark comedy,1335401700
25,1079,John Cleese,1335401693
25,1079,quirky,1335401695
25,1080,British,1335401495
25,1080,british comedy,1335401510
25,1080,controversial,1335401508
25,1080,mockumentary,1335401499
25,1080,Monty Python,1335401497
25,1080,satire,1335401501
25,1080,Terry Gilliam,1335401503
25,1136,British,1335401519
25,1136,british comedy,1335401529
25,1136,medieval,1335401525
25,1136,Monty Python,1335401521
25,1136,satire,1335401522
25,2542,black comedy,1335401473
25,2542,British,1335401467
25,2542,dark comedy,1335401469
25,2542,england,1335401487
25,2542,marijuana,1335401479
25,2542,Nudity (Topless),1335401484
25,2542,poker,1335401477
25,6502,British,1335401444
25,6502,Post apocalyptic,1335401447
25,6502,post-apocalyptic,1335401448
25,6502,sci-fi,1335401454
25,6502,survival,1335401450
25,6502,Zombie,1335401452
25,6539,adventure,1335395368
25,6539,Johnny Depp,1335395381
25,6539,pirates,1335395371
25,6539,Pixar,1335395373
25,6539,Suspense,1335395377
25,6539,Zombies,1335395378
25,6807,british comedy,1335401541
25,6807,controversial,1335401543
25,6807,John Cleese,1335401539
25,6807,Monty Python,1335401537
25,6942,british,1335401364
25,6942,England,1335401378
25,6942,multiple storylines,1335401369
25,6942,Nudity (Topless - Notable),1335401370
25,6942,Nudity (Topless),1335401373
25,8874,black comedy,1335401555
25,8874,break-up,1335401560
25,8874,British,1335401559
25,8874,british comedy,1335401557
25,8874,england,1335401563
25,8874,gore,1335401566
25,8874,Simon Pegg,1335401553
25,8874,zombie,1335401569
25,51255,black comedy,1335401714
25,51255,British,1335401716
25,51255,british comedy,1335401712
25,51255,dystopia,1335401718
25,51255,parody,1335401710
25,51255,Simon Pegg,1335401709
25,72998,culture clash,1335395346
25,72998,romance,1335395340
25,72998,sci-fi,1335395335
25,93840,ancient gods,1335395295
25,93840,clever,1335395290
25,93840,funny,1335395285
25,93840,original,1335395283
25,93840,original plot,1335395288
51,339,PG,1340484172
51,932,TV-G,1340747335
51,940,Approved,1340747297
51,969,UR,1340747369
51,1023,G,1340484096
51,1059,PG-13,1340484118
51,1934,TV-G,1340483977
51,2132,TV-MA,1340484136
51,3736,Approved,1340747230
51,3793,PG-13,1340484041
51,6333,PG-13,1340484016
51,6385,PG-13,1340484196
51,6856,TV-G,1340483999
51,7121,NR,1340747262
51,7836,R,1340484047
51,45499,PG-13,1340484030
51,90376,R,1340484219
51,95313,short,1341235331
98,344,comedy,1309494094
98,346,Beatles,1309565374
98,408,Luke Perry,1309493396
98,1127,sci-fi,1309494038
98,1214,Horror,1309493003
98,1214,Ridley Scott,1309492954
98,1251,Federico Fellini,1309493259
98,2071,based on a book,1309492842
98,2730,Stanley Kubrick,1309566125
98,3710,Carl Weathers,1309494203
98,3970,Lucio Fulci,1309567390
98,3986,Arnold Schwarzenegger,1309493188
98,4370,Steven Spielberg,1309493605
98,5154,Nudity (Full Frontal),1309547738
98,5810,Eminem,1309493323
