27981,10006,1,1465047836000,San Francisco
27981,10007,1,1465047836000,San Francisco
27981,10008,1,1465047836000,San Francisco
27981,90009,1,1465047834000,San Francisco
27981,90010,1,1465047834000,San Francisco
27981,90011,1,1465047834000,San Francisco
21619,10012,1,1465049318000,San Francisco
21619,10013,1,1465049318000,San Francisco
21619,10014,1,1465049318000,San Francisco
21619,90001,1,1465049312000,San Francisco
21619,90013,1,1465049314000,San Francisco
21619,90015,1,1465049314000,San Francisco
